competition,year,round,type,division,category,display_name,source_url,pdf_path,md_path,tex_path,num_pages
HMMT February,2018,Algebra,solutions,,,HMMT February 2018 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2018/feb/algnt/solutions.pdf,hmmt_pdfs/HMMT_February_2018_Algebra_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2018_Algebra_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2018_Algebra_Solutions.tex.zip,5
HMMT February,2018,Combinatorics,problems,,,HMMT February 2018 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2018/feb/comb/problems.pdf,hmmt_pdfs/HMMT_February_2018_Combinatorics_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2018_Combinatorics_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2018_Combinatorics_Problems.tex.zip,1
HMMT February,2018,Combinatorics,solutions,,,HMMT February 2018 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2018/feb/comb/solutions.pdf,hmmt_pdfs/HMMT_February_2018_Combinatorics_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2018_Combinatorics_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2018_Combinatorics_Solutions.tex.zip,6
HMMT February,2018,Geometry,problems,,,HMMT February 2018 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2018/feb/geo/problems.pdf,hmmt_pdfs/HMMT_February_2018_Geometry_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2018_Geometry_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2018_Geometry_Problems.tex.zip,1
HMMT February,2018,Geometry,solutions,,,HMMT February 2018 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2018/feb/geo/solutions.pdf,hmmt_pdfs/HMMT_February_2018_Geometry_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2018_Geometry_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2018_Geometry_Solutions.tex.zip,5
HMMT February,2018,Guts,problems,,,HMMT February 2018 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2018/feb/guts/problems.pdf,hmmt_pdfs/HMMT_February_2018_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2018_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2018_Guts_Problems.tex.zip,5
HMMT February,2018,Guts,solutions,,,HMMT February 2018 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2018/feb/guts/solutions.pdf,hmmt_pdfs/HMMT_February_2018_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2018_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2018_Guts_Solutions.tex.zip,14
HMMT February,2018,Team,problems,,,HMMT February 2018 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2018/feb/team/problems.pdf,hmmt_pdfs/HMMT_February_2018_Team_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2018_Team_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2018_Team_Problems.tex.zip,2
HMMT February,2018,Team,solutions,,,HMMT February 2018 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2018/feb/team/solutions.pdf,hmmt_pdfs/HMMT_February_2018_Team_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2018_Team_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2018_Team_Solutions.tex.zip,5
HMMT February,2017,Algebra,problems,,,HMMT February 2017 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2017/feb/algnt/problems.pdf,hmmt_pdfs/HMMT_February_2017_Algebra_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2017_Algebra_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2017_Algebra_Problems.tex.zip,1
HMMT February,2017,Algebra,solutions,,,HMMT February 2017 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2017/feb/algnt/solutions.pdf,hmmt_pdfs/HMMT_February_2017_Algebra_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2017_Algebra_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2017_Algebra_Solutions.tex.zip,5
HMMT February,2017,Combinatorics,problems,,,HMMT February 2017 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2017/feb/comb/problems.pdf,hmmt_pdfs/HMMT_February_2017_Combinatorics_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2017_Combinatorics_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2017_Combinatorics_Problems.tex.zip,1
HMMT February,2017,Combinatorics,solutions,,,HMMT February 2017 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2017/feb/comb/solutions.pdf,hmmt_pdfs/HMMT_February_2017_Combinatorics_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2017_Combinatorics_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2017_Combinatorics_Solutions.tex.zip,5
HMMT February,2017,Geometry,problems,,,HMMT February 2017 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2017/feb/geo/problems.pdf,hmmt_pdfs/HMMT_February_2017_Geometry_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2017_Geometry_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2017_Geometry_Problems.tex.zip,1
HMMT February,2017,Geometry,solutions,,,HMMT February 2017 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2017/feb/geo/solutions.pdf,hmmt_pdfs/HMMT_February_2017_Geometry_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2017_Geometry_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2017_Geometry_Solutions.tex.zip,4
HMMT February,2017,Guts,problems,,,HMMT February 2017 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2017/feb/guts/problems.pdf,hmmt_pdfs/HMMT_February_2017_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2017_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2017_Guts_Problems.tex.zip,6
HMMT February,2017,Guts,solutions,,,HMMT February 2017 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2017/feb/guts/solutions.pdf,hmmt_pdfs/HMMT_February_2017_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2017_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2017_Guts_Solutions.tex.zip,12
HMMT February,2017,Team,problems,,,HMMT February 2017 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2017/feb/team/problems.pdf,hmmt_pdfs/HMMT_February_2017_Team_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2017_Team_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2017_Team_Problems.tex.zip,1
HMMT February,2017,Team,solutions,,,HMMT February 2017 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2017/feb/team/solutions.pdf,hmmt_pdfs/HMMT_February_2017_Team_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2017_Team_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2017_Team_Solutions.tex.zip,5
HMMT February,2016,Algebra,problems,,,HMMT February 2016 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2016/feb/algnt/problems.pdf,hmmt_pdfs/HMMT_February_2016_Algebra_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2016_Algebra_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2016_Algebra_Problems.tex.zip,1
HMMT February,2016,Algebra,solutions,,,HMMT February 2016 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2016/feb/algnt/solutions.pdf,hmmt_pdfs/HMMT_February_2016_Algebra_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2016_Algebra_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2016_Algebra_Solutions.tex.zip,5
